,CODE,Name.x,Abbreviation.x,Category.x,Notes,article_1,article_2,article_3,article_4,article_5,article_6,article_7,article_8,article_9,article_10,article_11,article_12,article_13,article_14,article_15,article_16,article_17,article_18,article_19,article_20,article_21,article_22,article_23,article_24,article_25,article_26,article_27,article_28,article_29,article_30,article_31,article_32,article_33,article_34,article_35,article_36,article_37,article_38,article_39,article_40,article_41,article_42,article_43,article_44,article_45,article_46,article_47,article_48,article_49,article_50,article_51,article_52,article_53,article_54,article_55,article_56,article_57,article_58,article_59,article_60,article_61,article_62,article_63,Name.y,Abbreviation.y,Category.y,Items,Accessibility,access_type,link,review,exclusion_reason,relevant,Report,name.z,category,construct,rating,norms,internal_cons,test_retest,validity,ts
1,ACADEMIC ROLE EXPECTATIONS AND ALCOHOL SCALE,Academic role expectations and alcohol scale,AREAS,Alcohol,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic role expectations and alcohol scale,AREAS,Alcohol,5,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ADOLESCENT DRINKING INDEX,Adolescent Drinking Index,ADI,Alcohol,NA,155,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adolescent Drinking Index,ADI,Alcohol,24,No,Paywall,https://www.parinc.com/Products/Pkey/7,Exclude,Cost,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ADVANCED WARNING OF REPLACE SCALE,Advanced Warning of Replace Scale,AWARE,Alcohol,NA,165,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advanced Warning of Replace Scale,AWARE,Alcohol,28,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALCOHOL ABSTINENCE SELF-EFFICACY SCALE,Alcohol Abstinence Self-efficacy Scale,AASE,Alcohol,NA,23,95,771,50,54,377,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Abstinence Self-efficacy Scale,AASE,Alcohol,20,Yes,Print-ready,https://habitslab.umbc.edu/self-efficacy-scales/,Include,NA,1,"DiClemente et al., 1994",Alcohol Abstinence Self-Efficacy Scale,Alcohol,Self-Efficacy,Good,Excellent,Good,NA,"DISCRIM, PREDICT",X
5,ALCOHOL AND DRUG CONSEQUENCES QUESTIONNAIRE,Alcohol and Drug Consequences Questionnaire,ADCQ,Alcohol,NA,470,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol and Drug Consequences Questionnaire,ADCQ,Alcohol,29,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ALCOHOL CONSUMPTION QUESTIONNAIRE,Alcohol Consumption Questionnaire,ACQ,Alcohol,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Consumption Questionnaire,ACQ,Alcohol,6,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ALCOHOL CRAVING MEASURE,Alcohol Craving Measure,ACQ-Now,Alcohol,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Craving Measure,ACQ-Now,Alcohol,47,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ALCOHOL CRAVING QUESTIONNAIRE SHORT FORM REVISED,Alcohol Craving Questionnaire Short Form Revised,ACQ-SF-R,Alcohol,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Craving Questionnaire Short Form Revised,ACQ-SF-R,Alcohol,12,Yes,Print-ready,https://adai.uw.edu/instruments/pdf/Alcohol_Craving_Questionnaire_Short_Form_Revised_20.pdf,Include,NA,1,"Singleton, 1995",Alcohol Craving Questionnaire Short Form Revised,Alcohol,Urges,Adequate,Adequate,Good,NA,CONCUR,X
9,ALCOHOL DECISIONAL BALANCE SCALE,Alcohol Decisional Balance Scale,ADBS,Alcohol,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Decisional Balance Scale,ADBS,Alcohol,42,No,Print-ready, https://habitslab.umbc.edu/decisional-balance-scales/,Exclude,Unable to verify original source,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ALCOHOL DEPENDENCE DEVELOPMENT SCALE,Alcohol Dependence Development Scale,SRUA,Alcohol,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Dependence Development Scale,SRUA,Alcohol,29,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
